4.2042	-0.968	2.2467	0.007707604
3.0868	1.0637	-1.307	0.010493362
1.9393	-1.9514	-1.8012	0.011074124
-0.5542	2.9015	1.2439	0.010149006
-0.7058	-1.2577	1.7843	0.009886877
3.2524	5.053	-0.8202	0.009909588
3.704	4.4491	-2.9704	0.010212593
3.4494	1.8623	0.7798	0.020560517
4.1362	-1.0964	-0.0398	0.013758102
0.4398	2.0215	-0.6291	0.023505253
1.1863	-2.7866	0.1849	0.020662198
-1.1267	-0.3148	-0.2699	0.019914702
-2.0201	1.6552	-4.1577	0.01713951
4.6663	1.0738	0.9659	0.022785993
5.3264	1.6819	2.2065	0.019059587
4.1581	2.288	2.9758	0.017376991
3.2555	2.8046	1.8682	0.019127322
4.3255	-0.4224	1.1515	0.017947368
2.8142	1.9086	-0.4412	0.025655484
3.61	-2.4533	-0.0869	0.021121067
1.63	2.8857	-0.6287	0.030155375
4.5402	-3.4069	-0.8692	0.01516852
-0.2054	-2.5805	-0.1863	0.031633854
2.1856	-2.3706	-0.6719	0.025704658
1.7527	3.6132	-1.9571	0.024241256
-1.6103	0.9659	0.2567	0.026496103
-1.0759	-3.7844	0.191	0.022580032
-0.7271	-5.0828	-0.5665	0.019496109
-0.4989	2.03	0.3766	0.026016932
-2.8067	1.494	-0.5526	0.021924232
-0.6995	-1.3278	0.557	0.027852993
4.7962	-3.0001	-2.3233	0.010815021
4.0256	-4.8493	-0.8142	0.007972301
-2.5173	1.8268	-1.9895	0.027988555
3.0234	4.4531	-1.9082	0.020298632
-1.672	-6.2036	-0.1269	0.010325286
-0.797	-4.9198	-2.0868	0.011574434
-2.4202	3.1433	-2.5502	0.03293147
-2.3092	0.9373	-3.0279	0.022211205
-2.1143	3.0018	-3.9032	0.031253309
-2.5524	4.446	-2.0269	0.024171307
-1.9336	4.0942	-4.7598	0.023387301
-2.3856	5.5499	-2.871	0.020118963
-2.0796	5.3736	-4.2178	0.020716134
